AltitudeVariation,VehicleSpeedInstantaneous,VehicleSpeedAverage,VehicleSpeedVariation,LongitudinalAcceleration,EngineLoad,EngineCoolantTemperature,ManifoldAbsolutePressure,EngineRPM,MassAirFlow,IntakeAirTemperature,VerticalAcceleration,FuelConsumptionAverage,roadSurface,traffic,drivingStyle
1.20,23.42,,-0.23,-2.226,29.80,68,103,1756,11.06,21,0.15,19.56,SmoothCondition,LowCongestionCondition,1
-0.20,23.42,,0.00,-3.008,32.16,68,103,1756,15.12,22,0.20,19.57,SmoothCondition,LowCongestionCondition,1
-0.50,24.54,,1.13,-2.578,26.67,68,110,1930,15.98,23,0.26,19.57,SmoothCondition,LowCongestionCondition,1
-0.60,26.57,,02.03,-1.445,15.29,68,112,2030,15.24,23,0.16,19.50,SmoothCondition,LowCongestionCondition,1
-1.10,28.60,,02.03,-859,16.86,68,110,2064,14.71,23,0.14,19.40,SmoothCondition,LowCongestionCondition,1
-1.30,28.60,,0.00,1.133,0.00,68,104,2054,14.71,22,0.04,19.40,SmoothCondition,LowCongestionCondition,1
-1.60,28.15,,-0.45,2.656,0.00,68,107,1966,18.98,23,-0.08,19.48,SmoothCondition,LowCongestionCondition,1
-2.30,25.67,13.22,-2.48,3.555,4.71,68,106,1796,15.81,24,-0.11,19.50,SmoothCondition,LowCongestionCondition,1
-2.10,24.09,13.64,-1.58,4.492,10.59,68,103,1689,14.65,22,-0.13,19.52,SmoothCondition,LowCongestionCondition,1
-1.50,22.74,14.03,-1.35,4.258,27.45,68,103,1599,11.85,21,-0.13,19.44,SmoothCondition,LowCongestionCondition,1
0.10,22.29,14.17,-0.45,414,24.31,69,104,1620,12.21,20,-0.09,19.39,SmoothCondition,LowCongestionCondition,1
0.10,23.64,14.33,1.35,3.945,20.00,69,104,1708,11.91,21,-0.07,19.30,SmoothCondition,LowCongestionCondition,1
0.10,24.77,14.74,1.13,2.187,23.53,69,104,1787,11.37,20,-0.07,19.17,SmoothCondition,LowCongestionCondition,1
0.30,25.45,15.14,0.68,1.719,23.14,69,105,1804,11.73,21,-0.08,19.04,SmoothCondition,LowCongestionCondition,1
0.30,26.80,15.57,1.35,1.523,26.27,69,108,1939,13.83,21,-0.13,18.99,SmoothCondition,LowCongestionCondition,1
0.20,28.15,16.01,1.35,508,29.41,69,113,2151,16.39,22,-0.20,18.98,SmoothCondition,LowCongestionCondition,1
0.60,29.72,16.49,1.58,391,35.69,69,119,2270,17.97,22,-0.14,19.00,SmoothCondition,LowCongestionCondition,1
0.50,31.53,16.99,1.80,1.094,41.96,69,133,2452,22.50,23,-0.05,19.07,SmoothCondition,LowCongestionCondition,1
0.40,34.23,17.56,2.70,1.328,25.10,69,130,2169,26.23,23,-0.08,19.17,SmoothCondition,LowCongestionCondition,1
-0.60,35.80,18.15,1.58,312,59.22,69,117,1589,20.35,22,-0.07,19.16,SmoothCondition,LowCongestionCondition,1
-0.90,37.15,18.76,1.35,391,51.37,70,124,1682,19.88,22,-0.06,19.13,SmoothCondition,LowCongestionCondition,1
-1.20,39.41,19.42,2.25,1.094,30.20,70,117,1734,20.74,22,-0.07,19.08,SmoothCondition,LowCongestionCondition,1
-0.90,40.31,20.09,0.90,1.172,19.22,70,106,1744,12.46,20,-0.14,18.75,SmoothCondition,LowCongestionCondition,1
-0.70,40.31,20.77,0.00,1.406,17.65,70,104,1721,11.20,19,-0.09,18.37,SmoothCondition,LowCongestionCondition,1
-0.10,40.31,21.41,0.00,2.539,6.27,70,102,1706,11.10,19,0.02,18.02,SmoothCondition,LowCongestionCondition,1
0.20,39.18,22.05,-1.13,1.055,32.55,70,104,1740,12.03,19,0.06,17.75,SmoothCondition,LowCongestionCondition,1
0.40,40.31,22.72,1.13,-156,47.84,70,117,1814,23.28,20,0.20,17.70,SmoothCondition,LowCongestionCondition,1
0.60,42.33,23.42,02.03,-1.055,55.69,70,136,1936,26.93,21,0.28,17.73,SmoothCondition,LowCongestionCondition,1
0.80,45.49,24.18,3.15,-1.914,46.67,71,139,2041,23.25,23,0.28,17.70,SmoothCondition,LowCongestionCondition,1
1.50,47.96,24.98,2.48,-2.305,50.20,71,141,2150,26.42,22,0.27,17.70,SmoothCondition,LowCongestionCondition,1
1.20,50.89,25.78,2.93,-2.656,43.53,71,142,2234,27.68,22,0.23,17.69,SmoothCondition,LowCongestionCondition,1
0.70,51.34,26.53,0.45,-2.813,55.69,71,158,2349,31.40,21,0.27,17.71,SmoothCondition,LowCongestionCondition,1
0.40,53.37,27.27,02.03,-1.953,49.02,72,158,2453,27.26,21,0.30,17.67,SmoothCondition,LowCongestionCondition,1
-0.10,57.20,28.04,3.83,-2.773,2.35,72,121,1713,27.26,22,0.23,17.67,SmoothCondition,LowCongestionCondition,1
-0.50,57.87,28.80,0.68,-3.789,68.63,72,134,1875,16.20,19,0.30,17.41,SmoothCondition,LowCongestionCondition,1
-1.00,59.22,29.54,1.35,-418,61.96,73,154,1950,28.67,20,0.32,17.38,SmoothCondition,LowCongestionCondition,1
-1.30,61.92,30.31,2.70,-3.672,52.16,73,158,2007,31.08,20,0.34,17.37,SmoothCondition,LowCongestionCondition,1
-1.00,62.83,31.05,0.90,-2.969,33.33,73,146,2032,31.42,20,0.29,17.35,SmoothCondition,LowCongestionCondition,1
-1.40,64.63,31.80,1.80,-3.242,35.69,73,127,2047,19.94,19,0.36,17.16,SmoothCondition,LowCongestionCondition,1
-1.10,65.08,32.54,0.45,-2.344,37.65,74,126,2071,21.11,19,0.33,17.01,SmoothCondition,LowCongestionCondition,1
-1.00,65.53,33.34,0.45,-2.305,39.22,74,126,2094,20.82,19,0.30,16.85,SmoothCondition,LowCongestionCondition,1
-1.00,66.65,34.21,1.13,-2.422,46.67,74,135,2129,23.45,19,0.32,16.74,SmoothCondition,LowCongestionCondition,1
-0.90,67.33,35.15,0.68,-2.383,32.55,74,126,2143,21.22,19,0.33,16.59,SmoothCondition,LowCongestionCondition,1
-0.90,68.00,36.14,0.68,-2.617,39.22,74,129,2167,21.06,19,0.38,16.45,SmoothCondition,LowCongestionCondition,1
-1.20,68.68,37.12,0.68,-3.516,34.51,74,126,2181,20.43,19,0.25,16.29,SmoothCondition,LowCongestionCondition,1
-1.50,69.13,38.06,0.45,-2.422,20.39,75,115,2174,17.89,19,0.25,16.09,SmoothCondition,LowCongestionCondition,1
-1.60,68.91,38.95,-0.23,-1.914,20.39,75,111,2167,15.24,18,0.15,15.59,SmoothCondition,LowCongestionCondition,1
-1.50,68.68,39.77,-0.23,-1.328,23.53,75,111,2171,17.24,18,0.06,15.41,SmoothCondition,LowCongestionCondition,1
-1.40,68.91,40.55,0.23,-625,24.31,75,114,2175,16.40,18,0.06,15.22,SmoothCondition,LowCongestionCondition,1
-1.70,68.91,41.30,0.00,0,27.06,75,114,2187,19.58,19,0.01,15.09,SmoothCondition,LowCongestionCondition,1
-2.30,69.36,42.03,0.45,664,21.96,75,116,2194,16.52,19,-0.02,14.92,SmoothCondition,LowCongestionCondition,1
-2.70,69.36,42.72,0.00,2.148,21.96,75,114,2135,21.66,19,-0.05,14.83,SmoothCondition,LowCongestionCondition,1
-2.70,68.68,43.40,-0.68,3.047,0.00,76,110,2122,22.24,20,-0.10,14.76,SmoothCondition,LowCongestionCondition,1
-2.40,66.88,44.04,-1.80,4.414,0.00,76,110,2064,23.42,20,-0.08,14.71,SmoothCondition,LowCongestionCondition,1
-2.20,65.08,44.66,-1.80,6.015,0.00,76,110,1999,22.44,20,-0.11,14.66,SmoothCondition,LowCongestionCondition,1
-2.00,63.05,45.27,-2.03,7.461,0.00,76,109,1937,21.27,19,-0.16,14.61,SmoothCondition,LowCongestionCondition,1
-2.10,60.57,45.85,-2.48,8.359,0.00,76,109,1848,19.88,19,-0.23,14.55,SmoothCondition,LowCongestionCondition,1
-1.90,58.10,46.41,-2.48,8.242,0.00,76,108,1785,19.53,19,-0.23,14.51,SmoothCondition,LowCongestionCondition,1
-1.50,55.84,46.94,-2.25,8.203,15.69,76,110,1755,13.78,19,-0.26,14.38,SmoothCondition,LowCongestionCondition,1
-0.90,55.62,47.48,-0.23,7.812,32.94,76,109,1758,14.92,17,-0.27,14.27,SmoothCondition,LowCongestionCondition,1
-0.50,55.84,48.02,0.23,8.047,35.29,76,111,1777,15.00,17,-0.25,14.17,SmoothCondition,LowCongestionCondition,1
-0.70,56.52,48.57,0.68,8.125,14.51,76,108,1780,13.38,17,-0.34,14.04,SmoothCondition,LowCongestionCondition,1
-1.00,55.84,49.09,-0.68,8.047,15.69,76,105,1767,12.50,17,-0.32,13.90,SmoothCondition,LowCongestionCondition,1
-0.70,56.29,49.58,0.45,7.734,39.22,76,109,1793,20.14,17,-0.32,13.87,SmoothCondition,LowCongestionCondition,1
-0.50,57.20,50.06,0.90,7.578,56.47,76,127,1845,25.24,20,-0.31,13.88,SmoothCondition,LowCongestionCondition,1
-0.40,59.00,50.57,1.80,6.953,49.80,76,136,1885,22.85,20,-0.28,13.86,SmoothCondition,LowCongestionCondition,1
-0.60,60.35,51.10,1.35,6.679,49.41,76,137,1943,20.58,19,-0.23,13.82,SmoothCondition,LowCongestionCondition,1
-0.30,61.70,51.71,1.35,6.484,45.49,76,130,1972,23.20,19,-0.19,13.80,SmoothCondition,LowCongestionCondition,1
0.10,62.60,52.35,0.90,6.133,43.92,76,133,2009,21.59,19,-0.16,13.77,SmoothCondition,LowCongestionCondition,1
0.30,63.50,53.03,0.90,625,28.63,77,125,2016,15.55,19,-0.15,13.67,SmoothCondition,LowCongestionCondition,1
0.90,63.73,53.72,0.23,6.054,29.02,77,114,2015,15.55,19,-0.17,13.67,SmoothCondition,LowCongestionCondition,1
1.60,63.95,54.39,0.23,4.765,41.18,77,123,2035,18.79,17,-0.19,13.61,SmoothCondition,LowCongestionCondition,1
1.60,64.63,55.05,0.68,4.219,40.39,77,129,2060,21.88,18,-0.16,13.58,SmoothCondition,LowCongestionCondition,1
1.30,65.53,55.72,0.90,3.711,21.57,77,119,2070,14.94,19,-0.16,13.42,SmoothCondition,LowCongestionCondition,1
0.80,65.53,56.37,0.00,3.555,5.10,77,110,2061,14.94,18,-0.17,13.42,SmoothCondition,LowCongestionCondition,1
0.40,64.85,56.98,-0.68,3.945,0.00,77,110,1967,20.55,18,-0.16,13.38,SmoothCondition,LowCongestionCondition,1
-0.10,62.37,57.52,-2.48,3.515,0.00,78,110,1884,20.43,18,-0.17,13.35,SmoothCondition,LowCongestionCondition,1
-0.70,59.67,57.99,-2.70,375,7.45,78,111,1836,21.11,18,-0.21,13.32,SmoothCondition,LowCongestionCondition,1
-0.90,58.32,58.39,-1.35,457,0.00,78,109,1755,20.55,18,-0.28,13.31,SmoothCondition,LowCongestionCondition,1
-1.50,56.29,58.73,-2.03,7.186,0.00,78,108,1625,19.22,18,-0.34,13.28,SmoothCondition,LowCongestionCondition,1
-1.90,53.37,59.00,-2.93,9.412,0.00,78,107,1405,17.22,17,-0.42,13.25,SmoothCondition,LowCongestionCondition,1
-2.00,45.26,59.10,-8.11,1.1755,0.00,78,105,1405,14.66,17,-0.48,13.22,SmoothCondition,NormalCongestionCondition,1
-2.10,36.03,59.03,-9.23,1.3981,09.02,78,103,1113,10.93,16,-0.62,13.18,SmoothCondition,NormalCongestionCondition,1
-1.80,28.15,58.83,-7.88,1.6051,20.00,78,101,1048,5.98,15,-0.79,13.09,SmoothCondition,NormalCongestionCondition,1
-1.60,20.49,58.50,-7.66,1.7183,22.75,78,101,904,6.83,13,-0.83,13.08,SmoothCondition,NormalCongestionCondition,1
-1.80,13.74,58.07,-6.76,1.8394,23.53,78,101,888,5.65,14,-0.91,13.10,SmoothCondition,NormalCongestionCondition,1
-1.70,9.91,57.57,-3.83,1.9839,27.06,78,100,873,5.16,14,-0.96,13.13,SmoothCondition,NormalCongestionCondition,0
-1.60,06.08,56.96,-3.83,2.0699,29.02,78,100,866,5.87,14,-1.02,13.21,SmoothCondition,NormalCongestionCondition,0
-0.90,2.70,56.25,-3.38,2.1207,38.82,78,100,849,4.97,15,-1.05,13.21,SmoothCondition,NormalCongestionCondition,0
-0.20,1.35,55.47,-1.35,2.1597,33.33,78,100,795,5.41,14,-1.05,13.21,SmoothCondition,NormalCongestionCondition,0
-0.30,0.00,54.62,-1.35,2.191,30.59,78,100,805,5.43,15,-1.04,13.21,SmoothCondition,NormalCongestionCondition,0
0.00,0.00,53.77,0.00,2.2418,29.41,78,100,813,05.09,15,-1.03,13.21,SmoothCondition,NormalCongestionCondition,0
0.20,0.00,52.88,0.00,2.2339,29.02,78,100,812,4.66,15,-1.05,13.21,SmoothCondition,NormalCongestionCondition,0
0.50,0.00,51.93,0.00,2.2496,31.76,78,100,803,4.66,15,-1.04,13.21,SmoothCondition,NormalCongestionCondition,0
0.90,0.00,50.96,0.00,2.1793,33.33,78,100,841,4.76,16,-1.01,13.21,SmoothCondition,NormalCongestionCondition,0
1.00,0.00,49.97,0.00,2.0855,26.27,78,100,840,4.73,16,-0.99,13.21,SmoothCondition,NormalCongestionCondition,1
0.80,0.00,48.94,0.00,2.0816,25.88,78,100,815,4.88,16,-0.95,13.21,SmoothCondition,NormalCongestionCondition,1
0.40,0.00,47.90,0.00,2.0699,26.67,78,100,805,4.71,16,-0.91,13.21,SmoothCondition,NormalCongestionCondition,1
-0.10,0.00,46.82,0.00,2.1974,25.88,78,100,804,4.68,17,-0.88,13.21,SmoothCondition,NormalCongestionCondition,1
0.00,0.00,45.73,0.00,1.777,27.06,78,100,801,4.82,17,-0.82,13.21,SmoothCondition,NormalCongestionCondition,1
0.00,0.00,44.64,0.00,1.5466,35.29,78,100,792,4.83,17,-0.74,13.21,SmoothCondition,NormalCongestionCondition,1
0.00,0.00,43.53,0.00,1.3123,30.98,78,100,777,4.63,17,-0.64,13.21,SmoothCondition,NormalCongestionCondition,1
0.00,0.00,42.41,0.00,1.1171,31.37,78,100,807,4.87,17,-0.54,13.21,SmoothCondition,NormalCongestionCondition,1
0.00,0.00,41.28,0.00,8.007,31.76,78,100,804,5.21,17,-0.39,13.21,SmoothCondition,NormalCongestionCondition,1
0.00,0.00,40.13,0.00,5.781,65.88,78,102,1192,6.90,17,-0.29,13.21,SmoothCondition,NormalCongestionCondition,1
-0.20,7.88,39.11,7.88,3.711,40.39,78,108,1728,13.31,20,-0.20,13.30,SmoothCondition,NormalCongestionCondition,1
-0.30,11.93,38.16,04.05,2.695,5.49,78,111,1299,15.79,22,-0.16,13.38,SmoothCondition,NormalCongestionCondition,1
-0.30,14.19,37.25,2.25,1.055,82.35,78,108,1233,8.86,22,-0.04,13.42,SmoothCondition,NormalCongestionCondition,1
-0.40,17.11,36.39,2.93,781,36.47,78,113,1438,14.76,19,-0.01,13.48,SmoothCondition,NormalCongestionCondition,1
-0.60,20.04,35.57,2.93,1.211,0.00,78,106,1317,13.16,21,-0.03,13.52,SmoothCondition,NormalCongestionCondition,1
-0.80,18.46,34.73,-1.58,207,0.00,78,104,1317,12.34,19,-0.05,13.56,SmoothCondition,NormalCongestionCondition,1
-0.90,16.21,33.84,-2.25,2.852,21.57,78,104,1134,10.02,19,-0.08,13.60,SmoothCondition,NormalCongestionCondition,1
-0.90,12.61,32.91,-3.60,3.359,24.71,78,103,882,4.95,17,-0.11,13.60,SmoothCondition,NormalCongestionCondition,1
-0.90,9.23,31.95,-3.38,3.906,25.10,78,101,871,4.68,15,-0.14,13.63,SmoothCondition,NormalCongestionCondition,1
-0.80,6.98,30.98,-2.25,4.101,27.06,78,100,873,05.05,16,-0.14,13.68,SmoothCondition,NormalCongestionCondition,1
-0.70,5.63,30.02,-1.35,3.789,31.76,78,100,839,4.97,16,-0.11,13.74,SmoothCondition,NormalCongestionCondition,1
-0.60,6.31,29.12,0.68,3.711,26.27,78,100,953,8.86,16,-0.08,13.81,SmoothCondition,NormalCongestionCondition,1
-0.40,8.11,28.28,1.80,332,26.27,78,101,1189,6.83,19,-0.04,13.87,SmoothCondition,NormalCongestionCondition,1
-0.30,8.33,27.49,0.23,2.617,23.92,78,100,1246,08.08,18,-0.01,13.93,SmoothCondition,NormalCongestionCondition,1
-0.20,9.91,26.73,1.58,2.305,32.16,78,101,1522,11.39,19,0.00,14.00,SmoothCondition,NormalCongestionCondition,1
-0.20,11.48,25.99,1.58,3.203,19.22,78,104,1676,12.51,20,-0.04,14.06,SmoothCondition,NormalCongestionCondition,1
-0.20,11.03,25.23,-0.45,3.398,3.14,78,105,1453,9.97,20,-0.04,14.12,SmoothCondition,NormalCongestionCondition,1
-0.20,9.68,24.46,-1.35,2.812,18.43,78,103,1378,8.74,19,-0.02,14.18,SmoothCondition,NormalCongestionCondition,1
-0.10,10.58,23.70,0.90,4.023,27.45,78,102,1575,9.82,18,-0.04,14.24,SmoothCondition,NormalCongestionCondition,1
-0.30,11.71,22.94,1.13,4.883,22.75,78,103,1770,11.90,19,-0.08,14.30,SmoothCondition,NormalCongestionCondition,1
-0.40,13.06,22.18,1.35,6.015,18.82,78,105,1929,13.78,20,-0.12,14.36,SmoothCondition,NormalCongestionCondition,1
-0.70,13.74,21.40,0.68,6.015,14.51,77,107,2029,14.32,20,-0.10,14.42,SmoothCondition,NormalCongestionCondition,1
-0.50,14.41,20.61,0.68,7.109,14.51,77,109,2104,15.50,20,-0.19,14.48,SmoothCondition,NormalCongestionCondition,1
-0.40,15.09,19.82,0.68,7.812,12.55,78,110,2068,15.33,20,-0.24,14.54,SmoothCondition,NormalCongestionCondition,0
-0.40,13.96,18.99,-1.13,7.304,3.14,78,110,1826,13.86,21,-0.23,14.60,SmoothCondition,NormalCongestionCondition,0
-0.30,12.38,18.14,-1.58,6.445,11.37,78,107,1734,11.93,18,-0.21,14.66,SmoothCondition,NormalCongestionCondition,0
-0.30,13.51,17.30,1.13,5.547,14.90,78,105,1779,11.56,17,-0.15,14.71,SmoothCondition,NormalCongestionCondition,0
-0.50,13.06,16.44,-0.45,5.234,12.16,78,105,1900,11.98,17,-0.14,14.77,SmoothCondition,NormalCongestionCondition,0
-0.30,13.29,15.57,0.23,4.961,8.63,78,105,1874,11.91,18,-0.12,14.82,SmoothCondition,NormalCongestionCondition,0
-0.20,12.16,14.68,-1.13,5.195,11.76,78,104,1703,11.59,18,-0.13,14.87,SmoothCondition,NormalCongestionCondition,1
0.10,10.81,13.78,-1.35,5.742,7.84,78,103,1576,10.31,17,-0.17,14.93,SmoothCondition,NormalCongestionCondition,1
0.00,10.36,12.91,-0.45,5.586,16.86,78,102,1423,8.47,17,-0.22,14.97,SmoothCondition,NormalCongestionCondition,1
0.00,9.68,12.08,-0.68,6.328,10.59,78,101,1321,8.66,16,-0.29,15.02,SmoothCondition,NormalCongestionCondition,1
0.00,8.33,11.24,-1.35,7.305,12.94,78,100,1200,6.44,16,-0.33,15.06,SmoothCondition,NormalCongestionCondition,1
-0.20,7.21,10.43,-1.13,8.086,18.82,78,101,1017,9.24,15,-0.36,15.13,SmoothCondition,NormalCongestionCondition,1
-0.30,06.08,9.64,-1.13,7.851,25.10,78,100,868,4.36,16,-0.35,15.17,SmoothCondition,NormalCongestionCondition,1
-0.30,5.18,8.97,-0.90,7.851,24.31,78,101,843,6.25,15,-0.35,15.23,SmoothCondition,NormalCongestionCondition,1
-0.30,04.05,8.44,-1.13,8.945,26.27,78,100,845,4.97,15,-0.39,15.29,SmoothCondition,NormalCongestionCondition,1
-0.40,0.00,7.97,-4.05,9.336,26.27,78,100,824,4.92,15,-0.43,15.36,SmoothCondition,NormalCongestionCondition,0
-0.50,0.00,7.63,0.00,1.0156,27.06,78,100,824,4.66,15,-0.47,15.36,SmoothCondition,NormalCongestionCondition,0
-0.50,0.00,7.40,0.00,1.0156,27.06,78,100,804,4.47,15,-0.48,15.36,SmoothCondition,NormalCongestionCondition,0
-0.50,0.00,7.23,0.00,1.1978,27.06,78,100,798,05.04,16,-0.50,15.36,SmoothCondition,NormalCongestionCondition,0
-0.40,0.00,7.13,0.00,1.1978,26.67,78,100,800,05.05,16,-0.50,15.36,SmoothCondition,NormalCongestionCondition,0
-0.30,0.00,07.09,0.00,9.453,27.84,78,100,797,4.54,16,-0.46,15.36,SmoothCondition,NormalCongestionCondition,0
-0.20,0.00,07.06,0.00,9.336,27.06,78,100,799,4.61,16,-0.46,15.36,SmoothCondition,NormalCongestionCondition,0
0.00,0.00,07.06,0.00,9.023,29.41,78,100,789,4.54,16,-0.45,15.36,SmoothCondition,NormalCongestionCondition,0
0.00,0.00,07.06,0.00,9.023,27.06,78,100,839,4.37,16,-0.48,15.36,SmoothCondition,NormalCongestionCondition,0
0.00,0.00,07.06,0.00,8.906,28.63,78,100,822,4.87,17,-0.46,15.36,SmoothCondition,NormalCongestionCondition,1
0.00,0.00,07.06,0.00,8.633,22.35,78,100,822,05.05,16,-0.45,15.44,SmoothCondition,NormalCongestionCondition,1
0.00,0.00,07.06,0.00,7.851,39.61,78,100,833,4.61,17,-0.42,15.51,SmoothCondition,NormalCongestionCondition,1
0.00,0.00,07.06,0.00,7.461,27.84,78,100,845,5.84,17,-0.41,15.58,SmoothCondition,NormalCongestionCondition,1
0.30,6.53,7.17,6.53,793,19.22,78,100,960,5.41,18,-0.41,15.63,SmoothCondition,NormalCongestionCondition,1
